date,open,low,high,close,volume,ticker,hl2,rsi,sma_50,diff_sma50,sma_100,diff_sma100,sma_200,diff_sma200,bb_lower,bb_upper,diff_upper_bb,diff_lower_bb,local,local_text,ghl_status,ghl_color,ghl_last_change_date,ghl_days_since_last_change,ghl_last_change_price,ghl_change_percent_from_last_change,rsi_status,rsi_last_change_date,rsi_days_since_last_change,rsi_last_change_price,rsi_change_percent_from_last_change,last_max,fell_from_last_max,sector,industry,price_per_earning,earnings_per_share_basic_ttm,number_of_employees,last_local_min_date,last_local_min_price,days_after_last_local_min,percent_change_from_last_local_min,last_local_max_date,last_local_max_price,days_after_last_local_max,percent_fall_from_last_local_max
2025-03-05,379.0,378.010009765625,387.1199951171875,386.3500061035156,2132757.0,HD,382.56500244140625,41.119862763044246,400.26440063476565,-3.476300792472087,405.6438006591797,-4.756339065039638,382.5686000061035,0.9884256306847528,379.1028916261837,398.73310690897256,3.2051509278711032,-1.8757899217918483,minimum,💸13.97%<br>$378.01,close,blue,2025-03-03,2.0,389.69000244140625,-0.8570905891774339,open,2024-12-19,76.0,385.0199890136719,0.34544104924290053,429.5199890136719,10.050750608671233,Retail Trade,Home Improvement Chains,25.89390436,14.9525,,2025-03-05,386.3500061035156,0.0,0.0,2024-11-26,429.5199890136719,99.0,10.050750608671233
2025-03-05,207.07000732421875,206.11000061035156,212.17999267578125,211.5399932861328,4283652.0,ABBV,209.1449966430664,75.40656457122145,185.96559936523437,13.752217618846064,184.78339965820314,14.479976922938853,182.78854942321777,15.729346260276756,204.06905595640896,213.86293867249728,1.0981116857758488,-3.531690255666464,minimum,💸4.43%<br>$206.11,open,gold,2025-02-12,21.0,193.0,9.606214137892643,close,2025-02-18,15.0,196.25,7.791079381468946,207.75999450683594,-1.8194064686368305,Health Technology,Pharmaceuticals: Major,88.45124603,2.3961,55000.0,2025-03-05,211.5399932861328,0.0,0.0,2025-03-04,207.75999450683594,1.0,-1.8194064686368305
2025-03-05,42.650001525878906,41.70500183105469,42.72999954223633,42.290000915527344,45712558.0,BAC,42.21750068664551,32.77254744002335,45.56999992370606,-7.197715632368085,45.040099983215335,-6.105890237172751,42.45389995574951,-0.3860635663460954,41.12257662824316,47.17342251726465,11.547461565422413,-2.7605208371030088,minimum,💸13.08%<br>$41.71,close,grey,2025-02-27,6.0,44.119998931884766,-4.147774389529535,close,2024-11-22,103.0,47.0,-10.02127464781416,47.7400016784668,11.416004548231273,Finance,Major Banks,13.15519333,3.2472,213000.0,2025-03-05,42.290000915527344,0.0,0.0,2025-02-06,47.7400016784668,27.0,11.416004548231273
2025-03-05,134.3699951171875,133.33999633789062,141.8300018310547,141.02999877929688,36817302.0,BABA,137.58499908447266,68.38416116969742,102.43379959106446,37.67916385247438,98.07219978332519,43.80221825438815,90.40664985656738,55.995160757582326,125.88297733461023,142.41702266538977,0.9834956378773629,-10.740283326805377,,,open,gold,2025-02-04,29.0,102.3499984741211,37.791891433155136,close,2025-02-26,7.0,139.0800018310547,1.4020685379418696,143.75,1.8921747622282603,Retail Trade,Internet Retail,20.3762299,7.1116,204891.0,2025-03-04,129.85000610351562,1.0,8.609928494626807,2025-02-21,143.75,12.0,1.8921747622282603
2025-03-05,69.9000015258789,69.83999633789062,70.73999786376953,70.08000183105469,15024711.0,KO,70.28999710083008,59.86337809842362,64.9168000793457,7.953567867482936,65.02329990386963,7.7767537708189005,65.9893000793457,6.199037945227981,69.31310966746511,72.55489265187083,3.531522197705539,-1.0943095655710167,minimum,💸3.87%<br>$69.84,open,gold,2025-02-19,14.0,70.06999969482422,0.014274491614152396,close,2025-02-11,22.0,67.5999984741211,3.6686441019418092,72.55999755859375,3.4178553073081486,Consumer Non-Durables,Beverages: Non-Alcoholic,28.48085833,2.467,69700.0,2025-03-05,70.08000183105469,0.0,0.0,2025-03-04,70.19000244140625,1.0,0.1567183452421017
2025-03-05,261.010009765625,257.4800109863281,263.5,262.739990234375,5153429.0,TMUS,260.49000549316406,57.86436984642722,237.31019958496094,10.715843943449954,233.99390014648438,12.284974125349013,210.51920013427736,24.80571371484843,259.18791197067054,274.4440826582357,4.45462923760489,-1.3519366658025112,minimum,💸6.88%<br>$257.48,open,gold,2025-02-04,29.0,237.25,10.743936874341408,close,2025-03-03,2.0,272.8299865722656,-3.698272490006538,272.8299865722656,3.698272490006538,Communications,Wireless Telecommunications,27.15322131,9.7058,70000.0,2025-03-05,262.739990234375,0.0,0.0,2025-03-03,272.8299865722656,2.0,3.698272490006538
2025-03-05,287.2200012207031,285.6210021972656,292.6835021972656,291.9700012207031,5056356.0,CRM,289.1522521972656,31.314803529345934,327.08599975585935,-10.736013941705602,323.6661001586914,-9.792838645272973,289.90454986572263,0.7124591028106142,286.0825412576553,299.96545678921973,2.7384510515081173,-2.0164605741798236,maximum,🚀3.7%<br>$292.68,close,blue,2025-03-04,1.0,287.3399963378906,1.6113332434820382,open,2025-03-03,2.0,293.05999755859375,-0.37193624069170594,367.8699951171875,20.632287194911324,Technology Services,Packaged Software,45.92600749,6.4411,,2025-03-04,287.3399963378906,1.0,1.6113332434820382,2025-03-05,291.9700012207031,0.0,-0.0
2025-03-05,150.14999389648438,147.74000549316406,151.36500549316406,150.80999755859375,7251628.0,CVX,149.55250549316406,40.99794186509475,152.86139984130858,-1.342001502566692,153.90070007324218,-2.0082446104387697,152.65310028076172,-1.2073798165763483,148.359613070235,160.11638180281187,6.170933223841701,-1.6248156806757397,,,open,gold,2025-01-21,43.0,158.24000549316406,-4.69540424459306,close,2025-01-17,47.0,161.47000122070312,-6.6018477621356375,162.11000061035156,6.970577391408783,Energy Minerals,Integrated Oil,15.54934631,9.7362,45298.0,2024-12-20,142.85000610351562,75.0,5.57227239410123,2025-01-17,161.47000122070312,47.0,6.6018477621356375
2025-03-05,63.220001220703125,62.79999923706055,64.17500305175781,63.959999084472656,13854118.0,CSCO,63.48750114440918,58.20195790224816,61.303799896240236,4.332845912860495,59.31649997711182,7.8283430565738055,53.794200019836424,18.897574572886345,63.09987027656004,64.34812929619386,0.6068327349545433,-1.3447917764611517,,,open,gold,2024-08-22,195.0,50.220001220703125,27.359612763420714,close,2025-02-13,20.0,63.84000015258789,0.1879682512499148,63.84000015258789,-0.1879682512499148,Electronic Technology,Telecommunications Equipment,28.02681741,2.294,90400.0,2025-03-04,63.2599983215332,1.0,1.1065456552520558,2025-02-13,63.84000015258789,20.0,-0.1879682512499148
2025-03-05,73.20999908447266,72.44000244140625,74.62999725341797,74.16000366210938,18245716.0,WFC,73.53499984741211,39.35730085318256,75.74139984130859,-2.087888766926038,72.54659992218018,2.2239550050034973,64.89009990692139,14.285543971244863,72.15094696047079,79.62105621335733,7.363878481087749,-2.709083875982965,maximum,🚀4.61%<br>$74.63,open,gold,2024-10-15,141.0,63.029998779296875,17.65826606118912,close,2025-02-04,29.0,79.47000122070312,-6.681763529670636,81.41999816894531,8.916721530466699,Finance,Major Banks,13.79926315,5.4398,217000.0,2025-03-04,73.30000305175781,1.0,1.1732613568164574,2025-03-05,74.16000366210938,0.0,-0.0
