date,open,low,high,close,volume,ticker,hl2,rsi,sma_50,sma_100,sma_200,diff_sma50,diff_sma100,diff_sma200,bb_mid,bb_upper,bb_lower,diff_upper_bb,diff_lower_bb,local,local_text,ghl_status,ghl_color,ghl_last_change_date,ghl_days_since_last_change,ghl_last_change_price,ghl_change_percent_from_last_change,rsi_status,rsi_last_change_date,rsi_days_since_last_change,rsi_last_change_price,rsi_change_percent_from_last_change,last_max,fell_from_last_max,sector,industry,price_per_earning,earnings_per_share_basic_ttm,number_of_employees,last_local_min_date,last_local_min_price,days_after_last_local_min,percent_change_from_last_local_min,last_local_max_date,last_local_max_price,days_after_last_local_max,percent_fall_from_last_local_max
2025-11-11,10.289999961853027,10.010000228881836,10.289999961853027,10.199999809265137,9897.0,ADSE,10.150000095367432,51.35134299190176,10.3446000289917,11.109450035095215,12.246750011444092,-1.397832872429161,-8.186275854854086,-16.712598854931716,10.29674997329712,10.900686938168736,9.692813008425503,6.869481784373499,-4.972419709056586,,,close,blue,2025-09-04,68.0,10.300000190734863,-0.970877472018683,close,2025-10-31,11.0,11.420000076293945,-10.683014526079814,16.18000030517578,36.95921126773845,Producer Manufacturing,Electrical Products,,-1.3926,302.0,2025-09-16,8.390000343322754,56.0,21.573294301267644,2025-09-30,12.0,42.0,15.00000158945719
2025-11-11,5.099999904632568,4.889999866485596,5.119999885559082,5.070000171661377,1188983.0,GTN,5.004999876022339,58.64662085442801,5.247600030899048,5.211900019645691,4.575400017499923,-3.384401596766584,-2.722612625902998,10.809987154559476,4.697000026702881,5.0655019854962156,4.328498067909546,-0.08872161761066533,-14.625287547255638,,,close,blue,2025-10-29,13.0,4.400000095367432,15.227274131183744,open,2025-10-10,32.0,4.659999847412109,8.798290508034201,6.239999771118164,18.749994268783944,Consumer Services,Broadcasting,12.240463544181555,0.4645,9118.0,2025-11-07,4.820000171661377,4.0,5.1867218069793,2025-11-10,5.039999961853027,1.0,-0.595242262607476
2025-11-11,48.11000061035156,45.38999938964844,50.6885986328125,45.849998474121094,380333.0,KRUS,48.03929901123047,20.09875221868414,64.86699996948242,73.61910011291504,68.97815000534058,-29.31691230411171,-37.71996886161665,-33.52967791891898,58.70900039672851,71.11470245421201,46.30329833924502,55.10295489835393,0.9886584083089511,maximum,🚀11.8%<br>$50.69,close,blue,2025-09-26,46.0,61.9900016784668,-26.036461957303324,open,2025-11-07,4.0,48.540000915527344,-5.541826103562664,106.76000213623047,57.05320573559518,Consumer Services,Restaurants,,-0.1627,3900.0,2025-11-07,48.540000915527344,4.0,-5.541826103562664,2025-11-11,45.849998474121094,0.0,-0.0
2025-11-11,27.889999389648438,27.3700008392334,28.3700008392334,28.299999237060547,191726.0,KOP,27.8700008392334,49.40298520209513,27.987999954223632,29.904799938201904,29.412749948501588,1.114760909486967,-5.366364946288449,-3.783225687463232,28.00049991607666,29.84699244961369,26.15400738253963,5.466407258864026,-7.583010291076664,maximum,🚀13.48%<br>$28.37,close,blue,2025-08-27,76.0,29.229999542236328,-3.1816637692106853,close,2025-10-23,19.0,28.719999313354492,-1.4623958437862794,34.59000015258789,18.184448938363907,Process Industries,Chemicals: Specialty,35.269192422731805,0.8501,2082.0,2025-11-07,26.700000762939453,4.0,5.99250347716076,2025-11-11,28.299999237060547,0.0,-0.0
2025-11-11,21.40999984741211,21.25,21.860000610351562,21.829999923706055,52602.0,ALRS,21.55500030517578,52.54692305922239,21.92779983520508,21.919999885559083,20.914949932098388,-0.4460087753172859,-0.4105837697212733,4.375100081895633,21.295500087738038,21.876877147330852,20.714123028145224,0.21473762615038527,-5.111666969586459,maximum,🚀7.63%<br>$21.86,close,blue,2025-10-29,13.0,20.969999313354492,4.101099849840639,open,2025-10-08,34.0,21.600000381469727,1.0648126767332844,23.06999969482422,5.374944896060663,Finance,Major Banks,10.518454273874914,2.1017,892.0,2025-10-31,21.1200008392334,11.0,3.361737955775701,2025-11-11,21.829999923706055,0.0,-0.0
2025-11-11,3.630000114440918,3.441800117492676,3.7300000190734863,3.4800000190734863,4507939.0,TROX,3.585900068283081,48.36601409038685,4.010600008964539,4.345000004768371,5.498400001525879,-13.229940375630811,-19.907939810025322,-36.70886043016623,3.558500015735626,3.989326620215305,3.1276734112559472,14.635821791674065,-10.12432775535853,,,close,blue,2025-09-25,47.0,3.9000000953674316,-10.76923246214372,open,2025-11-03,8.0,3.309999942779541,5.13595405537044,6.119999885559082,43.13725352699779,Process Industries,Chemicals: Specialty,,-2.0457,6500.0,2025-11-06,3.1700000762939453,5.0,9.779177770303482,2025-11-10,3.609999895095825,1.0,3.6011047036024424
2025-11-11,58.790000915527344,56.939998626708984,58.8849983215332,57.400001525878906,52900.0,NWPX,57.912498474121094,61.858050132997114,53.785200119018555,49.46450004577637,46.05035009384155,6.720810555434098,16.04282156447294,24.64617838715448,56.6430004119873,64.13488571179803,49.15111511217656,11.733247398752589,-14.370881871812003,minimum,💸13.52%<br>$56.94,open,gold,2025-08-08,95.0,48.400001525878906,18.595040736078914,close,2025-10-27,15.0,54.869998931884766,4.610903304618019,58.97999954223633,2.6788708521877203,Non-Energy Minerals,Construction Materials,15.606732102558524,3.7295,1358.0,2025-11-11,57.400001525878906,0.0,0.0,2025-11-10,58.97999954223633,1.0,2.6788708521877203
2025-11-11,5.079999923706055,5.050000190734863,5.399499893188477,5.300000190734863,1040753.0,ALMS,5.22475004196167,73.68422226745824,4.44780002117157,4.191800003051758,4.612300004959106,19.160037895292326,26.43733448342722,14.910135616424514,4.708500003814697,5.1030564685553665,4.313943539074027,-3.715919152678182,-18.604841814621064,maximum,🚀43.6%<br>$5.4,open,gold,2025-10-13,29.0,4.610000133514404,14.967462846783942,close,2025-11-11,0.0,5.300000190734863,0.0,10.050000190734863,47.26368069504162,Health Technology,Pharmaceuticals: Major,,-4.5007,168.0,2025-09-30,3.990000009536743,42.0,32.83208466333354,2025-11-11,5.300000190734863,0.0,-0.0
2025-11-11,25.68000030517578,25.6299991607666,26.16990089416504,25.899999618530273,272802.0,MGPI,25.89995002746582,63.380272501230955,25.512800064086914,27.676400051116943,29.273600025177004,1.5176678117287512,-6.418466380402599,-11.524378292199245,24.58149995803833,25.813037646888848,23.34996226918781,-0.33576051321332345,-9.84570419652836,,,close,blue,2025-08-04,99.0,28.540000915527344,-9.250179440466532,open,2025-09-19,53.0,27.059999465942383,-4.28676966114534,33.560001373291016,22.82479571308067,Process Industries,Agricultural Commodities/Milling,,-0.6696,660.0,2025-10-15,23.690000534057617,27.0,9.328826655345491,2025-10-29,24.690000534057617,13.0,-4.900765728229017
2025-11-11,4.610000133514404,4.590000152587891,4.855000019073486,4.789999961853027,354742.0,KRO,4.7225000858306885,51.396653402246514,5.44019998550415,5.760399980545044,6.707249989509583,-11.951766945767305,-16.84605273886204,-28.58474084990442,4.819999957084656,5.170217901299166,4.469782012870146,7.9377441017567385,-6.685134687537742,maximum,🚀19.0%<br>$4.86,close,blue,2025-09-19,53.0,5.989999771118164,-20.033386562903498,open,2025-10-16,26.0,5.0,-4.200000762939449,12.960000038146973,63.04012385992319,Process Industries,Chemicals: Specialty,,-0.3591,2524.0,2025-11-07,4.400000095367432,4.0,8.86363313710401,2025-11-11,4.789999961853027,0.0,-0.0
